,1,1_val,2,2_val,3,3_val,4,4_val,5,5_val
15,24.0,0.07741298478775406,45.0,0.04624958387913361,63.0,0.018465605709829636,85.0,0.012625593981894691,104.0,0.00573216425232358
16,25.0,0.07803951393968162,46.0,0.05015412325594285,64.0,0.021588404033109323,86.0,0.014698470584244065,105.0,0.006835282623954755
17,26.0,0.07564530173209316,47.0,0.05323109867149043,65.0,0.02485101515451197,87.0,0.016914987249617174,106.0,0.008073795782153736
18,27.0,0.07060881892075446,48.0,0.05531983009143676,66.0,0.028173263169620363,88.0,0.01924455097779528,107.0,0.009447592040405859
19,28.0,0.06355382114717852,49.0,0.05631724515910805,67.0,0.03146294005242054,89.0,0.021648935950421503,108.0,0.010952784054390607
20,29.0,0.05523119263533985,50.0,0.05618599072208531,68.0,0.03462002231899949,90.0,0.02408312422856009,109.0,0.012581290096122147
21,30.0,0.046398497609802775,51.0,0.05495592371575268,69.0,0.03754180989785992,91.0,0.02649660389384617,110.0,0.014320548096551542
22,31.0,0.03772098076944555,52.0,0.052719078855684165,70.0,0.04012861027645558,92.0,0.028835080343814583,111.0,0.01615339490643987
23,32.0,0.029708022867612052,53.0,0.049619066413846696,71.0,0.04228951693638596,93.0,0.031042521963904415,112.0,0.018058136725546417
24,33.0,0.022688227138663534,54.0,0.045836502709726334,72.0,0.04394780423833958,94.0,0.03306343136968922,113.0,0.020008827611054703
25,34.0,0.016817537163033972,55.0,0.04157243178525434,73.0,0.045045485761623996,95.0,0.03484521092837148,114.0,0.02197576186178287
26,35.0,0.012109747936104634,56.0,0.03703173392318092,74.0,0.04554665719589976,96.0,0.03634047876014058,115.0,0.023926173570659483
27,36.0,0.008477608453046966,57.0,0.032408269123230915,75.0,0.045439359217096124,97.0,0.037509190369006316,116.0,0.025825123604040105
28,37.0,0.005774473358706316,58.0,0.027873049627502335,76.0,0.04473583619299528,98.0,0.0383204318035126,117.0,0.027636541668208888
29,38.0,0.003829742171727575,59.0,0.023566176248088856,77.0,0.04347121590723232,99.0,0.03875377195651147,118.0,0.029324379948186374
30,39.0,0.0024748317658699085,60.0,0.019592710253748893,78.0,0.0417007761681877,100.0,0.038800092339053543,119.0,0.030853825971401568
31,40.0,0.0015592883789174437,61.0,0.01602216965032922,79.0,0.039496080612629915,101.0,0.03846184959005746,120.0,0.03219251662265652
32,,,62.0,0.012890990294212644,80.0,0.036940346691611156,102.0,0.03775276573810345,121.0,0.033311693151396614
33,,,63.0,0.0102071001720564,81.0,0.03412344750100612,103.0,0.0366969802617486,122.0,0.03418723881661071
34,,,64.0,0.007955711905306318,82.0,0.03113694522244792,104.0,0.03532773294940796,123.0,0.03480054644719998
35,,,65.0,0.006105515473939283,83.0,0.02806951208905805,105.0,0.03368567463278972,124.0,0.035139172284055185
36,,,66.0,0.004614610455076965,84.0,0.025003023614129545,106.0,0.03181692205688241,125.0,0.03519724436616922
37,,,67.0,0.0034357130775161076,85.0,0.022009519367775822,107.0,0.02977098241208114,126.0,0.03497560755951834
38,,,68.0,0.002520371849423166,86.0,0.019149130592560498,108.0,0.02759867234269702,127.0,0.034481702095972865
39,,,69.0,0.0018220998588458278,87.0,0.01646898226058687,109.0,0.02535014643180731,128.0,0.03372918713137214
40,,,70.0,0.0012984665896437762,88.0,0.014002998523757651,110.0,0.023073132866242855,129.0,0.03273733432988356
41,,,71.0,0.000912281936353511,89.0,0.011772480772690424,111.0,0.020811451342847846,130.0,0.031530227942651146
42,,,72.0,0.0006320526030095489,90.0,0.009787289482186703,112.0,0.018603862675018495,131.0,0.0301358165761493
43,,,73.0,0.00043190378408635224,91.0,0.008047444586798111,113.0,0.016483273372967244,132.0,0.028584867384450832
44,,,74.0,0.000291146741816527,92.0,0.006544961873305902,114.0,0.014476293840793743,133.0,0.026909875582441994
45,,,,,93.0,0.00526576078410334,115.0,0.012603127484633839,134.0,0.025143981039635756
46,,,,,94.0,0.004191507288451357,116.0,0.010877751165641616,135.0,0.023319939592395495
47,,,,,95.0,0.00330128922042307,117.0,0.009308335709341366,136.0,0.021469190115147453
48,,,,,96.0,0.0025730563311622333,118.0,0.007897848713874746,137.0,0.01962104996555089
49,,,,,97.0,0.001984789772395077,119.0,0.006644780340026553,138.0,0.01780206188326514
50,,,,,98.0,0.0015153933987928723,120.0,0.005543935419048962,139.0,0.01603550550441868
51,,,,,99.0,0.00114532080518639,121.0,0.0045872411560253885,140.0,0.014341077032497056
52,,,,,100.0,0.0008569670095959174,122.0,0.0037645279086180867,141.0,0.012734731861363542
53,,,,,101.0,0.0006348625117190704,123.0,0.003064249962961899,142.0,0.011228677528883057
54,,,,,102.0,0.0004657109663748293,124.0,0.0024741229860627914,143.0,0.009831498591253122
55,,,,,103.0,0.0003383110580319495,125.0,0.001981664142012142,144.0,0.00854839099797865
56,,,,,104.0,0.00024339957047070785,126.0,0.001574629145108342,145.0,0.007381481321667293
57,,,,,,,127.0,0.0012413474157625976,146.0,0.00633020563855082
58,,,,,,,128.0,0.0009709618236177534,147.0,0.005391723751723241
59,,,,,,,129.0,0.0007535832280226641,148.0,0.004561346521138971
60,,,,,,,130.0,0.000580372267033316,149.0,0.0038329569994716697
61,,,,,,,131.0,0.00044356179850090725,150.0,0.0031994095522231017
62,,,,,,,132.0,0.00033643330682950237,151.0,0.002652894863682431
63,,,,,,,133.0,0.0002532597204430063,152.0,0.0021852624339828296
64,,,,,,,134.0,0.00018922569306688966,153.0,0.0017882956423345758
65,,,,,,,135.0,0.00014033471464223278,154.0,0.0014539375283937348
66,,,,,,,136.0,0.00010331062461792479,155.0,0.001174468024586966
67,,,,,,,137.0,7.549934779051438e-05,156.0,0.000942635406043198
68,,,,,,,138.0,5.4775063958314885e-05,157.0,0.0007517462057704778
69,,,,,,,139.0,3.945362141288934e-05,158.0,0.0005957188012525195
70,,,,,,,140.0,2.8214841635245005e-05,159.0,0.0004691063715050397
71,,,,,,,141.0,2.0034443530893024e-05,160.0,0.0003670950243691487
72,,,,,,,142.0,1.4125626525884026e-05,161.0,0.0002854826839686681
73,,,,,,,143.0,9.889867243274915e-06,162.0,0.0002206438900271122
74,,,,,,,,,163.0,0.00016948507127213027
75,,,,,,,,,164.0,0.000129394182575414
76,,,,,,,,,165.0,9.818789651553683e-05
