,1,Actual_1,1_val,2,Actual_2,2_val,3,Actual_3,3_val,4,Actual_4,4_val,5,Actual_5,5_val
23,23.0,0.0003,0.00015658787676029603,28.0,0.0186,0.01868755599168641,33.0,0.0586,0.06044856836616929,41.0,0.0608,0.061665736048824346,47.0,0.0547,0.05295475905930514
24,,,,29.0,0.0134,0.012921283144272811,34.0,0.0562,0.05346307585316118,42.0,0.0582,0.05887859769842922,48.0,0.0516,0.05520786051711439
25,,,,30.0,0.0088,0.008634789833928883,35.0,0.048,0.04592943240291949,43.0,0.0551,0.05490553080056431,49.0,0.0522,0.056378425352834965
26,,,,31.0,0.0059,0.005583077972767592,36.0,0.0372,0.03835765941213513,44.0,0.0487,0.05003279567549432,50.0,0.0544,0.056418558659868716
27,,,,32.0,0.0041,0.0034964196052974226,37.0,0.031,0.031165365944062138,45.0,0.0435,0.04457566870015569,51.0,0.0574,0.05534798351491165
28,,,,33.0,0.0021,0.0021228809457066755,38.0,0.0238,0.024652945838966617,46.0,0.0396,0.03884721596926121,52.0,0.0528,0.0532499730259071
29,,,,34.0,0.0024,0.001250774268199387,39.0,0.0178,0.018999524380107283,47.0,0.0332,0.033131886011207874,53.0,0.0495,0.05026149405822453
30,,,,35.0,0.0009,0.0007157465736264268,40.0,0.0152,0.014275113696817318,48.0,0.0274,0.02766644042859028,54.0,0.0445,0.04655908565051257
31,,,,36.0,0.0004,0.0003981267077241524,41.0,0.0109,0.01046287113693373,49.0,0.0228,0.022629232117701643,55.0,0.0415,0.04234240255842723
32,,,,37.0,0.0001,0.00021542706251167048,42.0,0.0074,0.0074854007885714335,50.0,0.0171,0.018137468309329396,56.0,0.0365,0.037817441709627544
33,,,,38.0,0.0,0.00011347846521764567,43.0,0.0061,0.005230201088972084,51.0,0.0146,0.014251073638981636,57.0,0.0346,0.03318126186059921
34,,,,39.0,0.0,5.823200448627457e-05,44.0,0.003,0.003571048933970207,52.0,0.0099,0.010981194178860128,58.0,0.03,0.02860957727433063
35,,,,40.0,0.0001,2.9129345645215573e-05,45.0,0.0026,0.0023838102446934076,53.0,0.0092,0.008301245659972773,59.0,0.0241,0.024248054130986414
36,,,,,,,46.0,0.0015,0.0015565409249394008,54.0,0.0068,0.0061586184969868885,60.0,0.0206,0.020207567181842367
37,,,,,,,47.0,0.0011,0.000994644016996208,55.0,0.005,0.004485580306055784,61.0,0.0158,0.01656317186945195
