,Actual,Coef1,Coef2,Coef3,Coef4,Coef5,Minimum_value,Mu1,Mu2,Mu3,Mu4,Mu5,Predicted
77,2,0.42689154,0.57310846,0.0,0,0,-292.434,4.02544327,8.76643608,0.0,0,0,3
78,3,0.1564107,0.53007052,0.31351878,0,0,-328.467,3.58649775,6.02140018,9.46650023,0,0,4
79,2,0.25443447,0.7455655299999999,0.0,0,0,-204.386,2.26240332,7.14321887,0.0,0,0,3
80,2,0.60613041,0.39386959,0.0,0,0,-218.517,2.38917907,7.64699012,0.0,0,0,4
81,2,0.47825976,0.52174024,0.0,0,0,-212.63,2.17139766,8.21387647,0.0,0,0,4
82,3,0.20615623,0.50553637,0.2883074000000001,0,0,-324.127,3.96482799,6.2877802,9.62368205,0,0,4
83,2,0.52006804,0.47993196000000005,0.0,0,0,-343.934,6.14833558,9.14794203,0.0,0,0,3
84,2,0.50235611,0.49764389,0.0,0,0,-222.76,2.22848554,7.48189685,0.0,0,0,3
85,3,0.15543893,0.59570363,0.24885743999999999,0,0,-371.862,5.36669544,7.17481149,9.99493796,0,0,3
86,3,0.33526761,0.27525065,0.38948173999999997,0,0,-308.747,3.74648992,6.72419464,9.46465352,0,0,3
87,3,0.33096193,0.51402436,0.15501371000000008,0,0,-239.465,2.4233638,6.04608543,10.4073808,0,0,4
88,2,0.48883323,0.51116677,0.0,0,0,-185.489,2.69906124,7.24756309,0.0,0,0,3
89,3,0.23486059,0.47707862,0.28806078999999996,0,0,-302.494,4.09700338,7.14093122,9.84708761,0,0,4
90,2,0.44152151,0.5584784899999999,0.0,0,0,-194.932,2.09132553,8.73150867,0.0,0,0,3
91,2,0.48314291,0.51685709,0.0,0,0,-232.222,2.21362499,8.99962052,0.0,0,0,3
92,2,0.40644803,0.59355197,0.0,0,0,-229.62,2.70848718,7.90405165,0.0,0,0,5
93,2,0.29308631,0.7069136899999999,0.0,0,0,-244.894,2.42527037,7.66809023,0.0,0,0,4
94,2,0.40910033,0.59089967,0.0,0,0,-229.845,2.70056398,7.86562583,0.0,0,0,5
95,3,0.33193044,0.50605572,0.16201383999999996,0,0,-239.904,2.4345793,6.03008155,10.3139246,0,0,4
96,2,0.63610094,0.36389906000000005,0.0,0,0,-242.172,3.96350374,7.24443029,0.0,0,0,3
97,3,0.33746498,0.51551281,0.14702220999999993,0,0,-229.764,2.45914453,6.1106523,10.525268,0,0,4
98,2,0.22935541,0.77064459,0.0,0,0,-226.568,2.11858179,8.99606214,0.0,0,0,3
99,2,0.53492841,0.46507159,0.0,0,0,-235.686,2.86471041,8.22999485,0.0,0,0,4
