,Actual,Coef1,Coef2,Coef3,Coef4,Coef5,Minimum_value,Mu1,Mu2,Mu3,Mu4,Mu5,Predicted
48,3,0.3998493,0.19863934,0.40151135999999993,0.0,0.0,-2458.128,24.94751338020823,74.96070660424947,124.97216184102886,0.0,0.0,3
49,3,0.3970949,0.19169345,0.4112116500000001,0.0,0.0,-1785.685,49.95795782637283,74.09577883266469,99.54758505353877,0.0,0.0,3
50,2,0.2053347,0.7946653,0.0,0.0,0.0,-1245.45,50.33496313111573,75.1015681325406,0.0,0.0,0.0,2
51,3,0.40017889,0.20066752,0.39915358999999995,0.0,0.0,-2561.169,24.91781823590946,49.98163874547144,125.00964269954831,0.0,0.0,3
52,4,0.1989575,0.39426972,0.19563897,0.21113381,0.0,-2447.834,49.9833341367845,74.87785441090246,99.25099139705785,124.3836513666932,0.0,4
53,3,0.40334584,0.19730017,0.39935398999999994,0.0,0.0,-2181.627,50.057287563328,75.24619249125338,125.11726930111162,0.0,0.0,3
54,5,0.26877758,0.13270821,0.14209601,0.26045206,0.19596613999999996,-2528.122,24.144064651327145,26.60218522614623,71.5117174178549,76.84067533070933,124.75569608640197,3
55,4,0.19975047,0.20618558,0.38821738,0.20584657,0.0,-1987.054,25.004171535782106,50.33141282963482,74.94492358197488,99.53848625759512,0.0,4
56,4,0.40182877,0.1933488,0.20494856,0.19987386999999995,0.0,-2687.164,24.99801245246486,49.67223050998384,74.4952990910171,124.79825756213641,0.0,4
57,4,0.19952397,0.20303455,0.19670937,0.40073211,0.0,-2119.043,24.99154799876981,50.09690497432984,75.03172260750996,99.93129646300711,0.0,4
58,4,0.20017991,0.20282411,0.39620551,0.20079047,0.0,-2662.671,25.038323966806253,50.18840579065987,75.1264243147119,125.06814076712648,0.0,4
59,4,0.40120358,0.19878528,0.18853416,0.21147697999999998,0.0,-2758.778,25.03172040476675,50.15113766581148,99.58936258083226,124.40843690172312,0.0,4
60,3,0.19979677,0.40673084,0.39347238999999995,0.0,0.0,-1722.395,50.10971973802701,75.3023071438385,100.38934300299917,0.0,0.0,3
61,3,0.58024908,0.06148217,0.35826875,0.0,0.0,-1261.186,49.69927200633255,65.09610503601736,75.84690235598357,0.0,0.0,2
62,4,0.19929508,0.48850723,0.11208082,0.20011687000000003,0.0,-2584.594,25.048753129275376,49.27460479636348,53.343250160662436,125.0382706348748,0.0,3
63,3,0.39356786,0.52256262,0.08386952000000003,0.0,0.0,-1408.497,74.88743543965644,99.04144549399236,106.47099406881418,0.0,0.0,2
64,4,0.38878807,0.01136794,0.19272218,0.40712181000000014,0.0,-2444.459,49.792672367821496,60.63913509167139,99.70508592125636,124.86312159432387,0.0,3
65,3,0.40237192,0.19981359,0.39781449,0.0,0.0,-1548.567,24.939392669508607,50.011824920841825,74.93765807839756,0.0,0.0,3
66,3,0.20052142,0.39927746,0.40020111999999997,0.0,0.0,-2018.878,25.055563674788598,50.01176678433501,99.99493267465454,0.0,0.0,3
67,4,0.19931698,0.20427215,0.19633686,0.40007401000000004,0.0,-2511.201,24.941382899370442,50.16268221533912,75.22456396648899,124.96813194148044,0.0,4
68,3,0.20003821,0.59693144,0.20303035000000003,0.0,0.0,-2493.944,24.907042423650385,74.92552915148967,124.75770947618484,0.0,0.0,3
69,4,0.19978113,0.19747965,0.18673478,0.41600444000000003,0.0,-2604.056,24.942530942895573,74.85855437170892,98.90470247551227,124.38701228796087,0.0,4
70,4,0.19905899,0.04455278,0.5599431,0.19644513000000008,0.0,-2244.851,49.99579057200029,90.36815250349147,100.73299263162579,125.31648376628284,0.0,3
71,4,0.19973472,0.19896319,0.40230094,0.1990011499999999,0.0,-2464.222,24.989809873611886,49.946738404133626,75.00371853920704,124.98562300114367,0.0,4
72,4,0.19942734,0.20062224,0.18282514,0.4171252800000001,0.0,-1985.514,25.022023687560885,50.00090262877123,95.10309397958443,102.08300786867133,0.0,3
73,4,0.19969396,0.19554133,0.2245517,0.38021300999999996,0.0,-2054.663,25.00836749041032,49.860298848791935,76.01309109905482,100.59842396184415,0.0,4
74,5,0.01607769,0.37824781,0.33116308,0.1217627,0.1527487199999999,-1926.881,63.291435481498866,75.21224129024974,97.97824863824681,111.51887514182827,127.47981420257952,3
75,3,0.20104382,0.39953944,0.39941674,0.0,0.0,-1626.728,24.961016269909354,49.8927452611043,74.81567931269723,0.0,0.0,3
76,4,0.2001255,0.19908216,0.58545626,0.015336080000000085,0.0,-2645.266,24.894242710822063,49.84894055114371,124.51959283149105,139.76313341626843,0.0,3
77,4,0.20006847,0.20105376,0.39940734,0.1994704300000001,0.0,-2658.271,24.943634209893208,49.98742346360678,74.98100539036808,124.90187946852187,0.0,4
78,4,0.1997355,0.20008943,0.40221827,0.19795679999999993,0.0,-2109.26,25.01720732956547,49.991340002851125,75.05796023388795,100.08544037158796,0.0,4
79,3,0.40054336,0.19480891,0.40464773,0.0,0.0,-1529.744,24.982322373988772,49.69959402221521,74.83738495719729,0.0,0.0,3
80,4,0.20033236,0.2083865,0.37532247,0.21595866999999996,0.0,-2588.993,25.019240146003987,75.42763651637983,99.86625757331691,124.05739324146548,0.0,4
81,4,0.18169046,0.05472028,0.1988322,0.56475706,0.0,-2023.501,74.112488712851,87.86893737420611,103.43025579533868,125.53177944217421,0.0,3
82,4,0.19894833,0.19395106,0.3752367,0.23186391000000006,0.0,-2352.064,49.96370718285725,74.62594980263782,99.00248021423889,123.15558533765854,0.0,4
83,4,0.39890115,0.00889972,0.39162812,0.20057101,0.0,-2539.471,24.996566016853702,82.41945995718378,100.2989026492385,125.13348770725575,0.0,3
84,4,0.19892387,0.18747062,0.05910879,0.5544967199999999,0.0,-1662.326,25.02975052683905,49.52055074597013,64.17732900532769,75.75091905312567,0.0,3
85,4,0.1998459,0.39975747,0.19657355,0.20382307999999996,0.0,-2825.488,24.972368962675596,49.92953227251448,99.70934075059192,124.74513286308728,0.0,4
86,4,0.19960773,0.40632041,0.20364046,0.1904314,0.0,-2591.204,25.01485387500443,75.17632542775245,100.81843920457614,125.59492797672853,0.0,4
87,4,0.1997765,0.20063055,0.20014374,0.39944921,0.0,-2568.63,25.074053187946387,50.05719783249579,75.13233980490385,125.10816302550064,0.0,4
88,4,0.20048832,0.39912737,0.19804457,0.20233973999999996,0.0,-2181.538,25.050210116354695,50.0419399766393,74.78936002552825,99.89301210919947,0.0,4
89,4,0.41015094,0.39190727,0.08661976,0.11132202999999995,0.0,-2303.675,48.178119125512765,51.86600686650847,129.05318771855758,122.02192290184975,0.0,2
90,5,0.20136869,0.20112136,0.16915331,0.09528118,0.33307546,-2142.202,25.042437128624666,50.2071652427419,73.96153721988954,88.97313584685611,101.66188807448344,4
91,5,0.10324413,0.29734477,0.32963191,0.10276916,0.16701003,-2340.884,47.54429934741519,50.956648382571466,98.73754884528505,109.92764526660717,127.03120891999556,3
92,3,0.19218685,0.75118984,0.05662330999999998,0.0,0.0,-1256.183,49.781175182717995,75.6069531915012,65.08630567526967,0.0,0.0,2
93,3,0.76904127,0.03522384,0.19573489,0.0,0.0,-1805.827,74.64711040564073,86.35248340863888,125.13464664667445,0.0,0.0,2
94,4,0.20012268,0.20010848,0.2209635,0.37880534,0.0,-2592.179,25.049188561558925,50.12285140375472,101.32347456980102,125.77495611606477,0.0,4
95,3,0.40175001,0.20272616,0.39552383,0.0,0.0,-1538.296,25.062446822657968,50.315497415278124,75.21444558528718,0.0,0.0,3
96,5,0.19991815,0.20118135,0.20120985,0.20202057,0.1956700799999999,-2613.574,25.031737600443616,50.11983619877346,75.22272187000888,100.36071011536733,125.23754236038725,5
97,4,0.45672971,0.34336654,0.00235361,0.19755013999999993,0.0,-1574.592,24.080579947704823,26.569223919480716,26.30109535884911,75.13330685812872,0.0,2
98,4,0.39976766,0.19824698,0.19767831,0.20430705000000007,0.0,-2106.766,24.97772976818188,49.8651149670726,74.59338853840757,99.72434483737632,0.0,4
99,4,0.20114684,0.39933577,0.19878296,0.20073442999999996,0.0,-2126.759,25.008859466058375,49.99177757972329,74.93742904142448,99.94210037008364,0.0,4
